City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,lata,40.1629,-8.3327,47.91,83,42,8.75,PT,2023-02-08 05:26:41
216,marovoay,-16.1,46.6333,77.77,83,79,4.99,MG,2023-02-08 05:26:41
217,kazachinskoye,57.6953,93.2761,18.23,91,100,7.45,RU,2023-02-08 05:26:41
218,hovd,48.0056,91.6419,6.98,74,99,3.65,MN,2023-02-08 05:26:42
219,vung tau,10.346,107.0843,82.02,71,14,14.03,VN,2023-02-08 05:23:30
220,banjar,-8.19,114.9675,85.87,70,97,4.36,ID,2023-02-08 05:26:42
221,carlos chagas,-17.7031,-40.7664,71.11,92,86,2.62,BR,2023-02-08 05:26:42
222,sabalgarh,26.25,77.4,71.53,26,0,5.7,IN,2023-02-08 05:26:42
223,georgetown,5.4112,100.3354,89.55,51,20,9.22,MY,2023-02-08 05:25:10
224,hurghada,27.2574,33.8129,50.04,46,0,8.05,EG,2023-02-08 05:24:39
225,temir,49.1414,57.13,4.1,92,9,14.34,KZ,2023-02-08 05:26:43
226,gunnedah,-30.9833,150.25,92.73,24,31,7.74,AU,2023-02-08 05:26:43
227,yerbogachen,61.2767,108.0108,-8.73,96,100,2.17,RU,2023-02-08 05:26:43
228,havre-saint-pierre,50.2334,-63.5986,23.0,79,100,10.36,CA,2023-02-08 05:26:44
229,lisakovsk,52.5369,62.4936,-5.1,99,85,7.85,KZ,2023-02-08 05:26:44
230,bagru,26.8088,75.5423,70.14,28,0,4.72,IN,2023-02-08 05:26:44
231,grand-santi,4.25,-54.3833,70.65,100,47,2.19,GF,2023-02-08 05:26:45
232,vestmanna,62.1564,-7.1664,43.32,87,100,54.74,FO,2023-02-08 05:26:45
233,narsaq,60.9167,-46.05,-1.98,66,22,9.44,GL,2023-02-08 05:26:45
234,skibbereen,51.55,-9.2667,48.11,89,93,10.58,IE,2023-02-08 05:26:45
235,butaritari,3.0707,172.7902,81.37,81,100,21.36,KI,2023-02-08 05:26:46
236,codrington,-38.2667,141.9667,65.77,62,51,13.96,AU,2023-02-08 05:26:46
237,barcelos,41.5388,-8.6151,48.34,73,79,14.58,PT,2023-02-08 05:26:46
238,nuuk,64.1835,-51.7216,8.98,94,100,9.37,GL,2023-02-08 05:26:47
239,ust-shonosha,61.1531,41.343,24.96,91,100,10.0,RU,2023-02-08 05:26:47
240,cherskiy,68.75,161.3,-26.84,97,100,5.66,RU,2023-02-08 05:26:47
241,jalu,29.0331,21.5482,47.32,62,83,5.5,LY,2023-02-08 05:26:47
242,la ronge,55.1001,-105.2842,26.85,50,0,6.91,CA,2023-02-08 05:26:48
243,malpe,13.35,74.7167,85.3,45,78,1.03,IN,2023-02-08 05:26:48
244,puerto ayora,-0.7393,-90.3518,78.55,92,36,4.0,EC,2023-02-08 05:26:48
245,saint-joseph,-21.3667,55.6167,82.78,77,81,13.18,RE,2023-02-08 05:26:49
246,miraflores,19.2167,-98.8083,61.03,57,0,2.68,MX,2023-02-08 05:25:14
247,victor harbor,-35.5667,138.6167,86.68,79,16,10.76,AU,2023-02-08 05:26:49
248,bonavista,48.6499,-53.1147,26.87,71,95,22.57,CA,2023-02-08 05:26:49
249,tiksi,71.6872,128.8694,-36.06,99,93,6.24,RU,2023-02-08 05:26:49
250,snezhnogorsk,69.1933,33.2531,29.98,83,22,16.69,RU,2023-02-08 05:26:50
251,road town,18.4167,-64.6167,75.29,72,13,19.57,VG,2023-02-08 05:23:33
252,letterkenny,54.95,-7.7333,45.07,83,52,13.27,IE,2023-02-08 05:26:50
253,nanakuli,21.3906,-158.1547,75.15,65,20,8.05,US,2023-02-08 05:26:50
